( [31, 68[ [100, 100[ ) ( [147/8, 149/8[ )
( [68, 100[ [100, 100[ ) ( [149/8, 151/8[ )
( [100, 132[ [100, 100[ ) ( [151/8, 153/8[ )
( [132, 164[ [100, 100[ ) ( [153/8, 155/8[ )
( [164, 201[ [100, 100[ ) ( [155/8, 157/8[ )
( [201, 233[ [100, 100[ ) ( [157/8, 159/8[ )
( [233, 265[ [100, 100[ ) ( [159/8, 161/8[ )
( [265, 297[ [100, 100[ ) ( [161/8, 163/8[ )
( [297, 334[ [100, 100[ ) ( [163/8, 165/8[ )
( [334, 366[ [100, 100[ ) ( [165/8, 167/8[ )
( [366, 398[ [100, 100[ ) ( [167/8, 169/8[ )
( [398, 430[ [100, 100[ ) ( [169/8, 171/8[ )
( [430, 467[ [100, 100[ ) ( [171/8, 173/8[ )
( [467, 499[ [100, 100[ ) ( [173/8, 175/8[ )
( [499, 531[ [100, 100[ ) ( [175/8, 177/8[ )
( [531, 563[ [100, 100[ ) ( [177/8, 179/8[ )
( [563, 600[ [100, 100[ ) ( [179/8, 181/8[ )
( [600, 632[ [100, 100[ ) ( [181/8, 183/8[ )
( [632, 664[ [100, 100[ ) ( [183/8, 185/8[ )
( [664, 696[ [100, 100[ ) ( [185/8, 187/8[ )
( [696, 728[ [100, 100[ ) ( [187/8, 189/8[ )
