( [32, 69[ [100, 100[ ) ( [1233/8, 1235/8[ )
( [69, 101[ [100, 100[ ) ( [1235/8, 1237/8[ )
( [101, 133[ [100, 100[ ) ( [1237/8, 1239/8[ )
( [133, 165[ [100, 100[ ) ( [1239/8, 1241/8[ )
( [165, 202[ [100, 100[ ) ( [1241/8, 1243/8[ )
( [202, 234[ [100, 100[ ) ( [1243/8, 1245/8[ )
( [234, 266[ [100, 100[ ) ( [1245/8, 1247/8[ )
( [266, 298[ [100, 100[ ) ( [1247/8, 1249/8[ )
( [298, 335[ [100, 100[ ) ( [1249/8, 1251/8[ )
( [335, 367[ [100, 100[ ) ( [1251/8, 1253/8[ )
( [367, 399[ [100, 100[ ) ( [1253/8, 1255/8[ )
( [399, 431[ [100, 100[ ) ( [1255/8, 1257/8[ )
( [431, 468[ [100, 100[ ) ( [1257/8, 1259/8[ )
( [468, 500[ [100, 100[ ) ( [1259/8, 1261/8[ )
( [500, 532[ [100, 100[ ) ( [1261/8, 1263/8[ )
( [532, 564[ [100, 100[ ) ( [1263/8, 1265/8[ )
( [564, 601[ [100, 100[ ) ( [1265/8, 1267/8[ )
( [601, 633[ [100, 100[ ) ( [1267/8, 1269/8[ )
( [633, 665[ [100, 100[ ) ( [1269/8, 1271/8[ )
( [665, 697[ [100, 100[ ) ( [1271/8, 1273/8[ )
( [697, 729[ [100, 100[ ) ( [1273/8, 1275/8[ )
